Time,Temperature,Humidity,Pressure,SoundLvL
1716883271969592029,22.16,992.55,50.60,-29.67
1716883272055227186,22.15,992.48,50.60,-59.01
1716883272162604373,22.17,992.48,50.58,-60.41
1716883272268241196,22.16,992.50,50.60,-60.42
1716883272364828436,22.16,992.50,50.60,-57.80
1716883272460740415,22.16,992.50,50.61,-55.03
1716883272567544113,22.17,992.48,50.59,-52.75
1716883272663811196,22.16,992.50,50.60,-56.70
1716883272770100258,22.16,992.52,50.61,-59.11
1716883272855604321,22.16,992.47,50.59,-59.35
1716883272962367237,22.16,992.50,50.58,-44.32
1716883273069185987,22.17,992.48,50.61,-47.64
1716883273165881664,22.16,992.50,50.59,-58.40
1716883273272138852,22.17,992.50,50.60,-59.05
1716883273357486196,22.16,992.50,50.59,-58.67
1716883273464825362,22.17,992.50,50.59,-58.27
1716883273571487185,22.15,992.45,50.60,-57.02
1716883273669297445,22.15,992.45,50.59,-57.82
1716883273764102862,22.16,992.50,50.60,-59.46
1716883273860617758,22.16,992.50,50.59,-58.76
1716883273966774060,22.15,992.51,50.60,-60.16
1716883274073479685,22.15,992.49,50.61,-60.60
1716883274159986560,22.15,992.48,50.60,-59.03
1716883274266315310,22.16,992.50,50.61,-55.17
1716883274373590414,22.16,992.47,50.60,-43.43
1716883274469183122,22.16,992.50,50.60,-56.67
1716883274565321612,22.16,992.52,50.62,-59.97
1716883274661599685,22.17,992.45,50.63,-38.78
1716883274768518591,22.15,992.45,50.61,-58.41
1716883274876148955,22.15,992.43,50.61,-58.86
1716883274960641455,22.15,992.56,50.60,-59.18
1716883275067465674,22.17,992.53,50.60,-59.27
1716883275163908226,22.16,992.41,50.61,-51.93
1716883275270077914,22.16,992.50,50.61,-55.20
1716883275377202966,22.17,992.50,50.60,-55.77
1716883275463488591,22.16,992.52,50.61,-59.31
1716883275570352809,22.17,992.45,50.61,-58.26
1716883275676907601,22.16,992.50,50.61,-56.49
1716883275773763538,22.16,992.50,50.61,-58.08
1716883275870031611,22.16,992.52,50.58,-58.49
1716883275966418330,22.16,992.50,50.59,-58.49
1716883276072929632,22.17,992.45,50.59,-57.90
1716883276180848903,22.15,992.51,50.60,-57.89
1716883276266176507,22.16,992.50,50.59,-58.36
1716883276372601455,22.16,992.47,50.60,-58.69
1716883276469187496,22.15,992.49,50.59,-57.74
1716883276576851455,22.16,992.44,50.60,-57.92
1716883276673212496,22.16,992.52,50.60,-58.84
1716883276768988434,22.16,992.50,50.59,-56.96
1716883276876593486,22.15,992.46,50.58,-58.38
1716883276973084684,22.16,992.47,50.59,-57.92
1716883277069168382,22.17,992.50,50.61,-58.00
1716883277178156194,22.17,992.50,50.59,-58.82
1716883277273332600,22.17,992.50,50.58,-58.67
1716883277381312236,22.16,992.52,50.59,-56.53
1716883277488017548,22.15,992.48,50.60,-57.24
1716883277574134996,22.16,992.52,50.59,-58.22
1716883277680099215,22.16,992.50,50.58,-58.68
1716883277776157496,22.17,992.50,50.59,-59.18
1716883277883016090,22.17,992.50,50.59,-58.62
1716883277979426350,22.17,992.45,50.59,-59.16
1716883278076276246,22.16,992.41,50.59,-60.97
1716883278182603017,22.16,992.44,50.60,-60.55
1716883278279145152,22.16,992.47,50.59,-58.39
1716883278375060048,22.15,992.46,50.61,-59.67
1716883278482073954,22.16,992.55,50.59,-59.52
1716883278578442339,22.16,992.47,50.60,-58.52
1716883278685988225,22.16,992.44,50.61,-56.21
1716883278781530881,22.17,992.42,50.61,-57.87
1716883278877774631,22.16,992.47,50.60,-51.23
1716883278984995725,22.15,992.43,50.59,-53.75
1716883279080945777,22.15,992.49,50.60,-45.58
1716883279177150360,22.16,992.44,50.60,-58.63
1716883279284123016,22.17,992.45,50.61,-58.63
1716883279380089318,22.16,992.52,50.64,-45.25
1716883279487806506,22.15,992.49,50.63,-55.96
1716883279572655724,22.17,992.54,50.63,-53.27
1716883279679220151,22.16,992.55,50.63,-56.87
1716883279786205568,22.16,992.58,50.63,-56.98
1716883279882486662,22.15,992.56,50.63,-56.81
1716883279988773381,22.16,992.44,50.64,-58.05
1716883280085389110,22.16,992.47,50.64,-59.57
1716883280181701818,22.15,992.45,50.66,-59.68
1716883280288521766,22.15,992.53,50.65,-57.91
1716883280384404787,22.15,992.49,50.67,-58.82
1716883280480257912,22.15,992.51,50.68,-58.22
1716883280587554162,22.15,992.51,50.68,-57.98
1716883280683455828,22.17,992.53,50.69,-58.90
1716883280790004266,22.15,992.49,50.70,-58.07
1716883280875906245,22.17,992.48,50.72,-58.04
1716883280983490568,22.15,992.51,50.70,-59.63
1716883281089403068,22.16,992.50,50.70,-57.27
1716883281185435047,22.16,992.50,50.71,-59.25
1716883281281218172,22.16,992.50,50.71,-58.47
1716883281377450932,22.15,992.54,50.70,-59.32
1716883281484568953,22.16,992.55,50.71,-58.01
1716883281591126817,22.15,992.54,50.69,-58.89
1716883281687989317,22.16,992.47,50.70,-58.24
1716883281783707755,22.17,992.50,50.70,-58.06
1716883281889985880,22.15,992.51,50.68,-58.72
1716883281986622338,22.16,992.50,50.69,-57.80
1716883282092844265,22.15,992.54,50.68,-58.99
1716883282178279005,22.17,992.56,50.69,-57.75
1716883282285792234,22.16,992.55,50.68,-58.60
1716883282392592442,22.15,992.43,50.67,-59.23
1716883282489359109,22.14,992.44,50.68,-58.70
1716883282586951661,22.15,992.56,50.67,-58.26
1716883282681601452,22.15,992.51,50.67,-58.49
1716883282786768692,22.15,992.51,50.67,-58.39
1716883282895675984,22.15,992.48,50.68,-60.77
1716883282978809629,22.16,992.50,50.68,-58.35
1716883283085653431,22.15,992.48,50.68,-58.52
1716883283192876608,22.15,992.53,50.66,-57.91
1716883283288177598,22.15,992.51,50.66,-58.93
1716883283395182285,22.15,992.51,50.64,-57.33
1716883283480057806,22.15,992.49,50.66,-58.42
1716883283586023588,22.15,992.51,50.65,-58.63
1716883283692590150,22.15,992.53,50.65,-58.42
1716883283789483640,22.16,992.47,50.64,-57.44
1716883283885480827,22.15,992.49,50.66,-59.04
1716883283981575150,22.16,992.52,50.66,-59.43
1716883284087958483,22.16,992.47,50.66,-60.12
1716883284195142389,22.16,992.58,50.66,-58.45
1716883284280324681,22.16,992.50,50.65,-57.33
1716883284386729004,22.16,992.52,50.65,-56.82
1716883284482950514,22.15,992.51,50.66,-59.05
1716883284589839056,22.15,992.53,50.66,-59.93
1716883284685201087,22.15,992.51,50.66,-56.69
1716883284780469629,22.15,992.48,50.66,-56.80
1716883284888336191,22.16,992.50,50.64,-58.73
1716883284995252702,22.16,992.52,50.66,-58.47
1716883285080005827,22.15,992.49,50.66,-40.47
1716883285186204941,22.17,992.48,50.67,-58.72
1716883285282691399,22.15,992.45,50.67,-56.63
1716883285388492337,22.15,992.49,50.65,-58.67
1716883285495140410,22.15,992.51,50.64,-58.73
1716883285580455930,22.15,992.53,50.64,-57.03
1716883285687224212,22.15,992.43,50.67,-57.41
1716883285782982962,22.15,992.49,50.66,-57.90
1716883285889555357,22.15,992.48,50.66,-36.20
1716883285985447597,22.16,992.47,50.67,-58.12
1716883286081423378,22.15,992.51,50.66,-57.53
1716883286189508118,22.15,992.49,50.66,-58.31
1716883286295789993,22.15,992.56,50.67,-58.92
1716883286380135201,22.15,992.57,50.67,-58.64
1716883286487736451,22.15,992.53,50.67,-58.49
1716883286583709680,22.15,992.49,50.68,-59.02
1716883286690269836,22.15,992.49,50.67,-58.01
1716883286786823534,22.15,992.49,50.68,-58.83
1716883286882312128,22.15,992.53,50.70,-58.24
1716883286989231034,22.15,992.49,50.68,-57.63
1716883287085590097,22.15,992.49,50.68,-57.64
1716883287181897388,22.15,992.54,50.70,-58.94
1716883287288355617,22.16,992.50,50.72,-58.74
1716883287384147753,22.16,992.55,50.71,-58.17
1716883287491309576,22.15,992.48,50.72,-59.37
1716883287597982701,22.15,992.45,50.73,-57.81
1716883287682721659,22.16,992.50,50.73,-58.20
1716883287789971867,22.15,992.48,50.75,-59.06
1716883287885455044,22.17,992.50,50.75,-58.86
1716883287992106971,22.16,992.58,50.73,-58.32
1716883288088861086,22.16,992.55,50.73,-58.34
1716883288184265409,22.15,992.51,50.74,-59.41
1716883288291557440,22.15,992.51,50.74,-60.31
1716883288387528429,22.15,992.49,50.75,-59.15
1716883288483442388,22.16,992.52,50.77,-59.12
1716883288590256659,22.16,992.58,50.74,-60.72
1716883288685956711,22.16,992.50,50.77,-63.40
1716883288794101398,22.15,992.46,50.77,-59.81
1716883288877717752,22.16,992.50,50.77,-58.64
1716883288985154888,22.16,992.50,50.79,-58.51
1716883289091333637,22.15,992.51,50.78,-59.67
1716883289187550929,22.15,992.49,50.79,-59.48
1716883289283457440,22.17,992.53,50.80,-58.33
1716883289390400721,22.16,992.50,50.80,-58.23
1716883289487461189,22.16,992.52,50.81,-60.11
1716883289593273429,22.16,992.52,50.82,-59.10
1716883289679065252,22.15,992.49,50.83,-60.99
1716883289786294106,22.17,992.56,50.82,-59.75
1716883289892977543,22.15,992.49,50.84,-58.12
1716883289987771918,22.15,992.51,50.83,-58.46
1716883290094282491,22.15,992.49,50.83,-59.39
1716883290180106450,22.15,992.54,50.83,-59.24
1716883290286556658,22.15,992.54,50.83,-58.11
1716883290393302543,22.15,992.54,50.83,-59.36
1716883290490219106,22.17,992.56,50.83,-60.12
1716883290585120929,22.15,992.46,50.83,-58.50
1716883290693493012,22.17,992.53,50.82,-57.67
1716883290788404991,22.15,992.45,50.86,-57.67
1716883290895305720,22.15,992.43,50.83,-59.08
1716883290980709626,22.17,992.50,50.82,-59.52
1716883291087009210,22.16,992.52,50.81,-57.65
1716883291193689262,22.14,992.53,50.82,-58.45
1716883291290198532,22.16,992.50,50.81,-60.08
1716883291386635616,22.15,992.43,50.80,-60.73
1716883291483995824,22.16,992.55,50.79,-59.65
1716883291588630928,22.15,992.45,50.79,-57.50
1716883291695613272,22.15,992.51,50.78,-59.43
1716883291781589314,22.15,992.48,50.78,-59.65
1716883291887783064,22.15,992.51,50.80,-59.00
1716883291984328949,22.15,992.51,50.78,-58.61
1716883292089746449,22.15,992.48,50.79,-58.88
1716883292196410876,22.15,992.48,50.78,-60.66
1716883292282943324,22.15,992.51,50.77,-61.65
1716883292389183636,22.15,992.49,50.78,-59.20
1716883292496248949,22.14,992.47,50.77,-59.21
1716883292592426188,22.15,992.49,50.79,-60.81
1716883292688459365,22.15,992.51,50.78,-62.12
1716883292784149105,22.14,992.47,50.77,-61.76
1716883292891000771,22.15,992.54,50.78,-58.18
1716883292997477803,22.15,992.51,50.78,-56.72
1716883293082235303,22.14,992.53,50.77,-56.39
1716883293189452438,22.15,992.56,50.78,-58.31
1716883293285343792,22.14,992.52,50.76,-55.31
1716883293391440980,22.15,992.48,50.76,-57.74
1716883293487434990,22.15,992.56,50.77,-58.37
1716883293583950615,22.14,992.52,50.77,-60.22
1716883293690930563,22.14,992.47,50.76,-59.03
1716883293797584834,22.14,992.57,50.76,-58.44
1716883293882982750,22.14,992.55,50.76,-59.26
1716883293989940927,22.14,992.53,50.76,-60.81
1716883294085700198,22.14,992.49,50.76,-58.07
1716883294192035563,22.14,992.53,50.74,-57.99
1716883294299034417,22.14,992.52,50.75,-60.00
1716883294384445250,22.14,992.52,50.77,-56.47
1716883294490816969,22.14,992.54,50.76,-57.68
1716883294587559833,22.15,992.53,50.76,-59.07
1716883294692989365,22.14,992.50,50.76,-59.66
1716883294789704312,22.14,992.49,50.77,-60.30
1716883294885482698,22.14,992.46,50.78,-61.35
1716883294991949469,22.15,992.51,50.80,-60.70
1716883295088611448,22.14,992.46,50.77,-61.34
1716883295183782333,22.14,992.55,50.78,-61.43
1716883295289569677,22.14,992.50,50.80,-61.63
1716883295385514052,22.15,992.48,50.79,-60.70
1716883295493248895,22.14,992.49,50.80,-60.46
1716883295588487177,22.15,992.53,50.80,-57.59
1716883295685745718,22.14,992.46,50.82,-59.34
1716883295791840458,22.14,992.49,50.81,-60.19
1716883295887908635,22.14,992.52,50.80,-60.21
1716883295984269989,22.15,992.61,50.78,-59.14
1716883296090928062,22.15,992.53,50.77,-58.60
1716883296186646291,22.14,992.54,50.80,-58.09
1716883296293298947,22.14,992.49,50.79,-58.67
1716883296378505406,22.13,992.46,50.78,-59.82
1716883296485287385,22.13,992.51,50.78,-59.26
1716883296591917385,22.14,992.49,50.78,-59.53
1716883296688059728,22.12,992.52,50.78,-57.39
1716883296794460041,22.13,992.50,50.78,-58.10
1716883296890194885,22.14,992.41,50.77,-59.40
1716883296986530197,22.13,992.51,50.75,-60.77
1716883297092474676,22.13,992.54,50.74,-60.54
1716883661824465559,22.16,992.52,50.35,-40.15
1716883661925962746,22.18,992.55,50.34,-45.65
1716883662032298163,22.17,992.54,50.34,-51.45
1716883662128097017,22.18,992.52,50.34,-54.11
1716883662234800298,22.18,992.53,50.33,-54.90
1716883662330705090,22.18,992.53,50.35,-55.36
1716883662426661236,22.18,992.58,50.36,-55.44
1716883662533073527,22.18,992.47,50.34,-55.18
1716883662628908840,22.18,992.46,50.34,-55.52
1716883662724654986,22.18,992.55,50.34,-55.60
1716883662831203319,22.19,992.51,50.32,-55.53
1716883662926893788,22.19,992.48,50.34,-55.86
1716883663033446079,22.18,992.47,50.34,-55.40
1716883663118735038,22.18,992.49,50.34,-55.59
1716883663225272485,22.18,992.55,50.34,-55.20
1716883663331669829,22.19,992.48,50.34,-55.40
1716883663427615142,22.19,992.48,50.33,-55.48
1716883663534141340,22.18,992.45,50.31,-55.59
1716883663630813839,22.18,992.53,50.33,-55.69
1716883663728444985,22.19,992.48,50.33,-55.65
1716883663835057277,22.18,992.42,50.33,-55.63
1716883663930831287,22.18,992.50,50.35,-55.56
1716883664026157694,22.19,992.53,50.33,-55.79
1716883664133431860,22.19,992.54,50.32,-55.63
1716883664228658787,22.18,992.47,50.33,-55.55
